"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DMLA63XV","conferencePaper","2025","Ubaidillah, Reza P.; Widyani, Yani","A Three-Stage Pipeline using ReAct and Reflexion for Reliable LLM-based Java Unit Test Case Generator","2025 IEEE International Conference on Data and Software Engineering (ICoDSE)","","2640-0227","10.1109/ICoDSE68111.2025.11351825","https://ieeexplore.ieee.org/document/11351825/","Writing comprehensive unit tests is a time-consuming challenge in software development. While Large Language Model (LLM) based tools offer a solution, they often struggle with code correctness and reliability. This paper proposes a novel tool for generating Java unit tests using a three-stage pipeline architecture: code description, test scenario listing, and code generation. Our approach integrates advanced techniques like Reflexion for iterative description, parallel generation for scenario diversity, and the ReAct framework for dynamic code repair. Testing on Apache Commons projects shows superior code and branch coverage (92 %-98 %) over benchmarks, with 78 %-83 % execution success rate.","2025-10","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:13","42-47","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2640-0227","","","","","code generation; Codes; Java; Large Language Model (LLM); Large language models; Maintenance engineering; Pipelines; ReAct; Reflexion; Reliability engineering; Software development management; Software engineering; Software reliability; unit testing; Writing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE International Conference on Data and Software Engineering (ICoDSE)","","","","","","","","","","","","","","",""
"SWQHGCQN","conferencePaper","2025","Genç, Sevdanur; Ceylan, Mustafa Furkan; İstanbullu, Ayhan","Software Unit Test Automation with LLM-Based Generative AI: Evaluating Test Quality through Code Coverage and Edge-Case Analysis","2025 10th International Conference on Computer Science and Engineering (UBMK)","","2521-1641","10.1109/UBMK67458.2025.11206953","https://ieeexplore.ieee.org/document/11206953/","Software unit testing is a critical verification step to ensure the correctness and reliability of software. However, manual writing of test cases is a time-consuming and error-prone process. This paper examines the integration of generative artificial intelligence models (LLM) into software test engineering and addresses automatic unit test generation. In the proposed method, test functions in pytest format are generated from the GPT-4 model using sample functions written in Python and these outputs are systematically evaluated. The validity of the tests is tested in terms of functional correctness by running them with pytest, and code coverage rates are measured with the coverage.py tool. Furthermore, the automatic generation of edge-case scenarios was analysed. The results show that the proposed method can produce tests with high accuracy and an average code coverage rate as high as 100%. At least one edge-case for each function was successfully tested. The results obtained show that generative artificial intelligence-based test generation can be integrated into software development processes and can significantly speed up and improve the accuracy of manual test writing. In this context, the study demonstrates that LLM-based test automation can be used as a productivity enhancing tool in software engineering and makes an original contribution to the literature.","2025-09","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:16","242-247","","","","","","Software Unit Test Automation with LLM-Based Generative AI","","","","","","","","","","","","IEEE Xplore","","ISSN: 2521-1641","","","","","Accuracy; Automated Unit Test Automation; Automation; Code Coverage; Codes; Edge-Case Analysis; Generative AI; Generative Artificial Intelligence; LLM (Large Language Models); Manuals; Software; Software reliability; Test pattern generators; Testing; Writing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 10th International Conference on Computer Science and Engineering (UBMK)","","","","","","","","","","","","","","",""
"S23ZNM25","conferencePaper","2025","Wei, Wei","Static Analysis and LLM for Comprehensive Java Unit Test Generation","2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)","","","10.1109/AEMCSE65292.2025.11042526","https://ieeexplore.ieee.org/document/11042526/","Software testing is crucial in ensuring the reliability and correctness of software applications. However, generating comprehensive test cases manually can be time-consuming and error-prone. This paper introduces SAGEN, a tool designed to automate Java unit test generation by leveraging static analysis of Syntax Trees (AST) and large language models (LLMs). SAGEN identifies literal values and their ranges, generating test cases that improve coverage and quality. In our experiments, SAGEN outperforms traditional test case generation tools such as EvoSuite and Randoop. It demonstrates a 10 % improvement in code coverage and a 13 % enhancement in test case quality. Furthermore, SAGEN achieves a compile pass rate of 89.7 %, proving its effectiveness in producing both high-quality and reliable test cases.","2025-05","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:18","87-92","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","","","Java; Java unit testing; Large language models; LLM; Manuals; Software; Software engineering; Software reliability; software testing; Software testing; static analysis; Static analysis; Syntactics; test case generation; Test pattern generators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 8th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)","","","","","","","","","","","","","","",""
"FQBT555V","conferencePaper","2024","Wang, Zejun; Liu, Kaibo; Li, Ge; Jin, Zhi","HITS: High-coverage LLM-based Unit Test Generation via Method Slicing","2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2643-1572","","https://ieeexplore.ieee.org/document/10765010/","Large language models (LLMs) have behaved well in generating unit tests for Java projects. However, the performance for covering the complex focal methods within the projects is poor. Complex methods comprise many conditions and loops, requiring the test cases to be various enough to cover all lines and branches. However, existing test generation methods with LLMs provide the whole method-to-test to the LLM without assistance on input analysis. The LLM has difficulty inferring the test inputs to cover all conditions, resulting in missing lines and branches. To tackle the problem, we propose decomposing the focal methods into slices and asking the LLM to generate test cases slice by slice. Our method simplifies the analysis scope, making it easier for the LLM to cover more lines and branches in each slice. We build a dataset comprising complex focal methods collected from the projects used by existing state-of-the-art approaches. Our experiment results show that our method significantly outperforms current test case generation methods with LLMs and the typical SBST method Evosuite regarding both line and branch coverage scores.CCS CONCEPTS• Software and its engineering → Software testing and debugging; • Computing methodologies → Natural language processing.","2024-10","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:26","1258-1268","","","","","","HITS","","","","","","","","","","","","IEEE Xplore","","ISSN: 2643-1572","","","","","AI for SE; Analytical models; Debugging; Java; Large Language Model; Large language models; Natural language processing; Program Decomposition; Program Slicing; Software; Software engineering; Software testing; Test pattern generators; Testing and Analysis; Unit Test Generation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","","","","","","","","","","","","","",""
"38L7BBUT","conferencePaper","2025","Nan, Zifan; Guo, Zhaoqiang; Liu, Kui; Xia, Xin","Test Intention Guided LLM-Based Unit Test Generation","2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE)","","1558-1225","10.1109/ICSE55347.2025.00243","https://ieeexplore.ieee.org/document/11029762/","The emergence of Large Language Models (LLMs) has accelerated the progress of intelligent software engineering technologies, which brings promising possibilities for unit test generation. However, existing approaches for unit tests directly generated from Large Language Models (LLMs) often prove impractical due to their low coverage and insufficient mocking capabilities. This paper proposes IntUT, a novel approach that utilizes explicit test intentions (e.g., test inputs, mock behaviors, and expected results) to effectively guide the LLM to generate high-quality test cases. Our experimental results on three industry Java projects and live study demonstrate that prompting LLM with test intention can generate high-quality test cases for developers. Specifically, it achieves the improvements on branch coverage by 94 % and line coverage by 49 %. Finally, we obtain developers' feedback on using IntUT to generate cases for three new Java projects, achieving over 80 % line coverage and 30 % efficiency improvement on writing unit test cases.","2025-04","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:30","1026-1038","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1558-1225","","","","","Industries; Java; Large language models; Life estimation; LLM; mocking; program analysis; Software engineering; test intention; Test pattern generators; unit test generation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE)","","","","","","","","","","","","","","",""
"FMHSDW3S","conferencePaper","2026","Wang, Xiaoyin; Ji, Zhaorong; Wang, Yao; Liu, Mengfan","A Multi-Stage Approach for LLM-Based Automated Repair of Test Cases","2026 8th International Conference on Natural Language Processing (ICNLP)","","","10.1109/ICNLP69856.2026.11527996","https://ieeexplore.ieee.org/document/11527996/","Currently, large language models often produce low-quality project-level unit test cases, manifesting as syntax errors, missing dependencies, semantic defects, and inadequate test coverage. To address these issues, this paper proposes a multi-stage feedback-based test case self-repair method. The approach first constructs an error classifier to identify the types of faults, then employs a stage router to determine the repair sequence, followed by a progressive four-stage repair processsyntax repair, dependency repair, semantic repair, and optimization repair. A knowledge retrieval module is also integrated to retrieve historical repair solutions. Experiments are conducted on nine large language models across three programming languages: Python, Java, and JavaScript. The results demonstrate that, compared with the primitive self-repair method, the proposed approach improves test case correctness by 14.32%, compilation rate by 16.88%, line coverage by 12.90%, and branch coverage by 12.46%. The method effectively enhances the quality of LLM-generated test cases and provides technical support for the practical application of LLMs in software testing.","2026-03","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:32","536-540","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","","","Codes; Equations; Feedback; large language models; Large language models; Maintenance engineering; Modeling; multi-stage feedback; Optimization; Printing; self-repair; software test; Test pattern generators; Testing; unit test generation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2026 8th International Conference on Natural Language Processing (ICNLP)","","","","","","","","","","","","","","",""
"HJNAJ9C5","journalArticle","2026","Agarwal, Saarang; Nie, Pengyu; Nagappan, Meiyappan","What Inputs Drive Effective Large Language Model-Based Unit Test Generation?","IEEE Software","","1937-4194","10.1109/MS.2025.3621625","https://ieeexplore.ieee.org/document/11205490/","Large language models (LLMs) have revolutionized software engineering by automating critical tasks. We study five state-of-the-art LLMs, investigating their capabilities in generating unit test cases while focusing on how different inputs impact test correctness, bug detection capability, and code coverage.","2026-01","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:36","48-56","","1","43","","","","","","","","","","","","","","","IEEE Xplore","","","","","","","Accuracy; Codes; Computer bugs; Large language models; Measurement; Natural language processing; Python; Software development management; Software engineering; Test pattern generators; Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98FLBH8L","journalArticle","2024","Tang, Yutian; Liu, Zhijie; Zhou, Zhichao; Luo, Xiapu","ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation","IEEE Transactions on Software Engineering","","1939-3520","10.1109/TSE.2024.3382365","https://ieeexplore.ieee.org/document/10485640/","Recent advancements in large language models (LLMs) have demonstrated exceptional success in a wide range of general domain tasks, such as question answering and following instructions. Moreover, LLMs have shown potential in various software engineering applications. In this study, we present a systematic comparison of test suites generated by the ChatGPT LLM and the state-of-the-art SBST tool EvoSuite. Our comparison is based on several critical factors, including correctness, readability, code coverage, and bug detection capability. By highlighting the strengths and weaknesses of LLMs (specifically ChatGPT) in generating unit test cases compared to EvoSuite, this work provides valuable insights into the performance of LLMs in solving software engineering problems. Overall, our findings underscore the potential of LLMs in software engineering and pave the way for further research in this area.","2024-06","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:38","1340-1359","","6","50","","","ChatGPT vs SBST","","","","","","","","","","","","IEEE Xplore","","","","","","","Benchmark testing; Chatbots; ChatGPT; Codes; Computer bugs; large language models; Question answering (information retrieval); search-based software testing; Software; Task analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YRPPLC22","conferencePaper","2026","Bajaj, Sanjay; Dantuluri, Venkata Seetarama Raju; Rajput, Devendra; Kolhe, Anil; Sharma, Ashkrit","LLM-Augmented Mutation Testing: Intelligent Generation and Triage of Mutants","2026 International Conference on Artificial Intelligence, Systems, and Emerging Technologies (ICAISET)","","","10.1109/ICAISET66439.2026.11541746","https://ieeexplore.ieee.org/document/11541746/","Mutation testing is a powerful yet computationally expensive software quality technique that assesses test suite adequacy by injecting systematic faults - called mutants - into a program’s source code. Despite its theoretical appeal, widespread industrial adoption is hindered by two fundamental barriers: (1) the combinatorial explosion of generated mutants, and (2) the high proportion of semantically equivalent or trivial mutants that waste execution cycles without providing diagnostic value. In this paper we present MutLLM, a novel framework that leverages Large Language Models (LLMs) to address both barriers simultaneously. MutLLM employs an LLM in three complementary roles: (i) semantic-context-aware mutation point selection, (ii) automated equivalence and trivial mutant detection, and (iii) natural-language test improvement recommendations. We evaluated MutLLM on five open-source Java projects totaling over 280,000 lines of code. Our results show an average mutation score improvement of 17.4 percentage points over traditional random mutation testing, while reducing the mutant set executed by 41% through LLM-guided triage. These results demonstrate that LLMs can fundamentally transform the scalability and utility of mutation testing in real-world software development pipelines.","2026-04","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:42","1-6","","","","","","LLM-Augmented Mutation Testing","","","","","","","","","","","","IEEE Xplore","","","","","","","Aluminum; Arrays; automated testing; Codes; equivalence detection; Java; large language models; Large language models; Modeling; mutation testing; Printing; Programming; Signal detection; software quality assurance; test adequacy; Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2026 International Conference on Artificial Intelligence, Systems, and Emerging Technologies (ICAISET)","","","","","","","","","","","","","","",""
"ZR7H42GR","conferencePaper","2025","Gorla, Daniele; Kumar, Shivam; Roselli Lorenzini, Pietro Nicolaus; Alipourfaz, Alireza","CubeTesterAI: Automated JUnit Test Generation Using the LLaMA Model","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","","2159-4848","10.1109/ICST62969.2025.10988978","https://ieeexplore.ieee.org/document/10988978/","This paper presents an approach to automating JUnit test generation for Java applications using the Spring Boot framework, leveraging the LLaMA (Large Language Model Architecture) model to enhance the efficiency and accuracy of the testing process. The resulting tool, called CubeTesterAI, includes a user-friendly web interface and the integration of a CI/CD pipeline using GitLab and Docker. These components streamline the automated test generation process, allowing developers to generate JUnit tests directly from their code snippets with minimal manual intervention. The final implementation executes the LLaMA models through RunPod, an online GPU service, which also enhances the privacy of our tool. Using the advanced natural language processing capabilities of the LLaMA model, CubeTesterAI is able to generate test cases that provide high code coverage and accurate validation of software functionalities in Java-based Spring Boot applications. Furthermore, it efficiently manages resource-intensive operations and refines the generated tests to address common issues like missing imports and handling of private methods. By comparing CubeTesterAI with some state-of-the-art tools, we show that our proposal consistently demonstrates competitive and, in many cases, better performance in terms of code coverage in different real-life Java programs.","2025-03","2026-06-08 06:41:05","2026-06-08 06:41:05","2026-06-08 06:40:46","565-576","","","","","","CubeTesterAI","","","","","","","","","","","","IEEE Xplore","","ISSN: 2159-4848","","","","","Accuracy; AI-assisted software testing; Automated test generation; Codes; Java; JUnit tests; Large language models; Large Language Models; LLaMA; Pipelines; Privacy; Proposals; Software; Software testing; Test pattern generators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","","","","","","","","","","","","","","",""
