timestamp,function_id,model,cost_usd,status,error
2026-07-12T19:44:31.070859+00:00,PY-005,gpt-4o-mini-2024-07-18,0.000000,error,Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-.... You can find your API key at https://platform.openai.com/account/api-keys.'; 'type': 'invalid_request_error'; 'code': 'invalid_api_key'; 'param': None}; 'status': 401}
2026-07-12T19:44:32.343922+00:00,PY-006,gpt-4o-mini-2024-07-18,0.000000,error,Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-.... You can find your API key at https://platform.openai.com/account/api-keys.'; 'type': 'invalid_request_error'; 'code': 'invalid_api_key'; 'param': None}; 'status': 401}
2026-07-12T19:44:33.595118+00:00,PY-007,gpt-4o-mini-2024-07-18,0.000000,error,Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-.... You can find your API key at https://platform.openai.com/account/api-keys.'; 'type': 'invalid_request_error'; 'code': 'invalid_api_key'; 'param': None}; 'status': 401}
2026-07-12T19:44:34.862233+00:00,PY-008,gpt-4o-mini-2024-07-18,0.000000,error,Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-.... You can find your API key at https://platform.openai.com/account/api-keys.'; 'type': 'invalid_request_error'; 'code': 'invalid_api_key'; 'param': None}; 'status': 401}
2026-07-12T19:44:36.122072+00:00,PY-009,gpt-4o-mini-2024-07-18,0.000000,error,Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-.... You can find your API key at https://platform.openai.com/account/api-keys.'; 'type': 'invalid_request_error'; 'code': 'invalid_api_key'; 'param': None}; 'status': 401}
2026-07-12T19:46:11.940590+00:00,PY-005,gpt-4o-mini-2024-07-18,0.002055,ok_but_not_verified,
2026-07-12T19:46:47.904461+00:00,PY-006,gpt-4o-mini-2024-07-18,0.003949,ok_but_not_verified,
2026-07-12T19:47:01.242522+00:00,PY-007,gpt-4o-mini-2024-07-18,0.004386,ok,
2026-07-12T19:47:37.455665+00:00,PY-008,gpt-4o-mini-2024-07-18,0.006201,ok_but_not_verified,
2026-07-12T19:47:45.877037+00:00,PY-009,gpt-4o-mini-2024-07-18,0.006552,ok,
2026-07-12T19:48:59.091614+00:00,PY-005,gpt-4o-mini-2024-07-18,0.001933,ok_but_not_verified,
2026-07-12T19:49:08.220156+00:00,PY-006,gpt-4o-mini-2024-07-18,0.002323,ok,
2026-07-12T19:49:43.181585+00:00,PY-008,gpt-4o-mini-2024-07-18,0.004086,ok_but_not_verified,
2026-07-12T19:50:29.615119+00:00,PY-011,gpt-4o-mini-2024-07-18,0.006585,ok_but_not_verified,
2026-07-12T19:51:10.237407+00:00,PY-015,gpt-4o-mini-2024-07-18,0.008907,ok_but_not_verified,
2026-07-12T19:52:08.580525+00:00,PY-016,gpt-4o-mini-2024-07-18,0.012086,ok_but_not_verified,
2026-07-12T19:52:43.166839+00:00,PY-020,gpt-4o-mini-2024-07-18,0.014173,ok_but_not_verified,
2026-07-12T19:53:09.255060+00:00,PY-021,gpt-4o-mini-2024-07-18,0.015963,ok_but_not_verified,
2026-07-12T19:54:01.699298+00:00,PY-023,gpt-4o-mini-2024-07-18,0.018820,ok_but_not_verified,
2026-07-12T19:55:04.903360+00:00,PY-025,gpt-4o-mini-2024-07-18,0.022476,ok_but_not_verified,
2026-07-12T19:56:06.850504+00:00,PY-028,gpt-4o-mini-2024-07-18,0.025887,ok,
2026-07-12T19:57:35.373068+00:00,PY-037,gpt-4o-mini-2024-07-18,0.030118,ok_but_not_verified,
2026-07-12T19:58:36.708791+00:00,PY-042,gpt-4o-mini-2024-07-18,0.033525,ok_but_not_verified,
